Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Genre,Release Date,Popularity,Duration (ms),Chord
1053,158,1,2020-07-03--2020-07-10,Tunnel Vision (Outro),"4,907,751",Pop Smoke,6852509,['brooklyn drill'],2020-07-03,60,132587,D
1054,7,19,2020-03-06--2020-03-13,Si Veo a Tu Mamá,"4,638,728",Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",2020-02-29,80,170972,D
1055,177,2,2020-06-26--2020-07-03,Prospect (ft. Lil Baby),"4,571,916",iann dior,1276292,"['melodic rap', 'pop rap']",2020-06-12,68,226314,C#/Db
1056,55,28,2019-12-27--2020-01-03,No Me Conoce - Remix,"4,501,188","Jhay Cortez, J Balvin, Bad Bunny",2435159,"['latin', 'reggaeton', 'trap latino']",2019-05-24,77,309120,A#/Bb
1057,189,1,2020-07-03--2020-07-10,El Manual,"4,470,597",Anuel AA,18306226,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",2020-05-29,67,210624,C
1058,181,8,2019-12-27--2020-01-03,Thunder,"4,468,668",Imagine Dragons,35299488,"['modern rock', 'pop', 'rock']",2017-06-23,83,187147,C
1059,158,9,2020-05-22--2020-05-29,El Efecto - Remix,"4,433,384","Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",6096559,"['puerto rican pop', 'trap latino']",2019-12-13,73,289899,C
1060,122,27,2019-12-27--2020-01-03,Better Now,"4,431,571",Post Malone,33663701,"['dfw rap', 'melodic rap', 'rap']",2018-04-27,81,231267,A#/Bb
1061,185,2,2020-06-19--2020-06-26,Don't Stop Believin',"4,394,985",Journey,3731820,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",1981,81,250987,E
1062,90,2,2020-06-19--2020-06-26,BLACK PARADE,"5,474,807",Beyoncé,28335112,"['dance pop', 'pop', 'post-teen pop', 'r&b']",2020-06-19,61,281273,C#/Db
1063,123,1,2020-06-26--2020-07-03,XXL,"5,415,994","Miksu / Macloud, Summer Cem, Luciano, Jamule",30683,['german hip hop'],2020-06-26,64,166173,F
1064,70,14,2020-04-24--2020-05-01,Salt,"4,874,960",Ava Max,1251372,[],2021-08-13,1,180283,F#/Gb
1065,52,7,2020-05-15--2020-05-22,Daisies,"4,838,067",Katy Perry,18936929,"['dance pop', 'pop', 'post-teen pop']",2020-05-15,68,173124,C#/Db
1066,142,3,2020-06-12--2020-06-19,Emotionally Scarred,"4,633,237",Lil Baby,7816213,"['atl hip hop', 'atl trap', 'rap', 'trap']",2020-02-28,71,197530,F#/Gb
1067,32,16,2020-03-13--2020-03-20,Myron,"4,593,309",Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-13,76,224955,G#/Ab
1068,67,5,2020-06-05--2020-06-12,MORE & MORE,"4,592,745",TWICE,9998991,"['k-pop', 'k-pop girl group']",2020-06-01,70,199653,F
1069,166,1,2020-06-26--2020-07-03,Girls in the Hood,"4,577,209",Megan Thee Stallion,4794212,"['houston rap', 'pop', 'pop rap', 'trap queen']",2020-06-26,72,154324,F#/Gb
1070,169,1,2020-06-26--2020-07-03,Parasite Eve,"4,545,883",Bring Me The Horizon,3912138,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",2020-06-25,67,291813,A
1071,78,27,2020-01-03--2020-01-10,Sucker,"4,543,863",Jonas Brothers,5436999,"['boy band', 'dance pop', 'pop', 'post-teen pop']",2019-06-07,81,181027,C#/Db
1072,147,27,2020-01-03--2020-01-10,I Like Me Better,"4,430,642",Lauv,4442273,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2018-05-31,82,197437,A
1073,116,21,2019-12-27--2020-01-03,High Hopes,"4,426,791",Panic! At The Disco,10850424,['modern rock'],2018-06-22,81,190947,F
1074,88,27,2020-01-03--2020-01-10,Money In The Grave (Drake ft. Rick Ross),"4,403,348",Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2019-06-15,78,205427,A#/Bb
1075,25,9,2020-05-15--2020-05-22,Say So (feat. Nicki Minaj),"4,385,148",Doja Cat,8671649,"['dance pop', 'pop']",2020-05-01,69,206221,B
1076,189,1,2020-06-26--2020-07-03,Karaoke,"4,374,448","Boomdabash, Alessandra Amoroso",1251372,[],2021-08-10,0,156493,C#/Db
1077,36,21,2020-02-07--2020-02-14,Know Your Worth,"4,374,392","Khalid, Disclosure",14190858,['pop'],2020-02-04,76,181436,A
1078,26,27,2020-01-03--2020-01-10,No Idea,"4,369,849",Don Toliver,1606884,"['rap', 'trap']",2020-03-13,80,154424,F#/Gb
1079,145,7,2020-06-19--2020-06-26,Airwaves,"4,352,767",Pashanim,208926,"['german alternative rap', 'german drill', 'german hip hop', 'german trap']",2020-05-14,71,178933,F
1080,196,1,2020-06-26--2020-07-03,Kill This Love,"4,341,050",BLACKPINK,23848461,"['k-pop', 'k-pop girl group']",2019-04-05,76,191050,D
1081,68,24,2019-12-27--2020-01-03,Lights Up,"4,325,411",Harry Styles,16127908,"['pop', 'post-teen pop']",2019-12-13,75,172213,A#/Bb
1082,14,27,2020-01-10--2020-01-17,Lose You To Love Me,"4,322,088",Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",2020-01-10,81,206459,E
1083,94,18,2019-12-27--2020-01-03,Girls Like You (feat. Cardi B),"4,318,772",Maroon 5,32279979,"['pop', 'pop rock']",2018-06-15,66,235545,C
1084,47,8,2020-05-08--2020-05-15,PA' ROMPERLA,"4,312,675","Bad Bunny, Don Omar",36177712,"['latin', 'reggaeton', 'trap latino']",2020-05-10,72,194200,G
1085,83,1,2020-06-19--2020-06-26,VACATION,"6,883,487",Tyga,6298789,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2020-06-19,51,192936,C#/Db
1086,86,1,2020-06-19--2020-06-26,Big Body Benz,"6,707,101",Bonez MC,1683006,"['german hip hop', 'hamburg hip hop']",2020-06-18,61,148284,A
1087,104,1,2020-06-19--2020-06-26,Ich weiß nicht mal wie sie heißt,"5,827,600","Capital Bra, Bozza",4093115,['german hip hop'],2020-06-18,57,168750,A#/Bb
1088,101,4,2020-05-29--2020-06-05,Fútbol & Rumba (feat. Enrique Iglesias),"5,124,116",Anuel AA,18306226,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",2020-05-29,67,221429,D
1089,131,1,2020-06-19--2020-06-26,Bleed,"5,095,478",A Boogie Wit da Hoodie,5865895,"['melodic rap', 'pop rap', 'rap', 'trap']",2020-06-19,61,176959,D
1090,134,1,2020-06-19--2020-06-26,Snow On Tha Bluff,"5,060,764",J. Cole,14103694,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2020-06-16,66,235480,G#/Ab
1091,113,2,2020-06-12--2020-06-19,Djomb - Bien ou quoi,"4,924,714",Bosh,300500,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais']",2020-05-29,64,141893,C#/Db
1092,84,15,2020-04-03--2020-04-10,In Your Eyes (feat. Alida),"4,654,587","Alida, Robin Schulz",2786366,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",2020-01-10,71,208222,G#/Ab
1093,13,14,2020-02-28--2020-03-06,Stupid Love,"4,609,858",Lady Gaga,1251372,[],2021-08-08,0,193533,G#/Ab
1094,93,2,2020-06-12--2020-06-19,Shotta Flow 5,"4,513,982",NLE Choppa,3372385,['memphis hip hop'],2020-06-12,62,145167,C#/Db
1095,145,5,2020-06-05--2020-06-12,IDK You Yet,"4,473,413",Alexander 23,207170,"['alt z', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",2020-06-23,79,184638,C#/Db
1096,75,25,2019-12-27--2020-01-03,Piece Of Your Heart,"4,422,905","MEDUZA, Goodboys",441714,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",2019-02-01,79,152913,A#/Bb
1097,129,4,2020-06-05--2020-06-12,Na Raba Toma Tapão,"4,396,629",Niack,352402,['funk carioca'],2020-06-06,61,165231,D#/Eb
1098,14,17,2020-02-28--2020-03-06,La Santa,"4,384,527","Bad Bunny, Daddy Yankee",36177712,"['latin', 'reggaeton', 'trap latino']",2020-02-29,79,206420,C#/Db
1099,125,15,2020-04-17--2020-04-24,Make You Mine,"4,356,213",PUBLIC,165504,['indie rockism'],2019-08-09,77,232907,A
1100,76,1,2020-06-12--2020-06-19,ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,"7,353,153",DaBaby,7601122,"['north carolina hip hop', 'rap']",2020-06-12,62,204547,B
1101,97,1,2020-06-12--2020-06-19,Make It Rain,"6,042,929","Pop Smoke, Rowdy Rebel",6852509,['brooklyn drill'],2020-06-12,64,204000,C#/Db
1102,139,1,2020-06-12--2020-06-19,M' Manc (con Geolier & Sfera Ebbasta),"5,171,235",Shablo,40045,['italian hip hop'],2020-06-11,66,180000,F#/Gb
1103,143,1,2020-06-12--2020-06-19,Emotions 2.0,"5,113,459","Ufo361, CÉLINE",1700759,"['german cloud rap', 'german hip hop']",2020-06-12,65,146028,G#/Ab
