Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Genre,Release Date,Popularity,Duration (ms),Chord
1,1,8,2021-07-23--2021-07-30,Beggin',"48,633,449",Måneskin,3377762,"['indie rock italiano', 'italian pop']",2017-12-08,100,211560,B
2,2,3,2021-07-23--2021-07-30,STAY (with Justin Bieber),"47,248,719",The Kid LAROI,2230022,['australian hip hop'],2021-07-09,99,141806,C#/Db
3,1,11,2021-06-25--2021-07-02,good 4 u,"40,162,559",Olivia Rodrigo,6266514,['pop'],2021-05-21,99,178147,A
4,3,5,2021-07-02--2021-07-09,Bad Habits,"37,799,456",Ed Sheeran,83293380,"['pop', 'uk pop']",2021-06-25,98,231041,B
5,5,1,2021-07-23--2021-07-30,INDUSTRY BABY (feat. Jack Harlow),"33,948,454",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",2021-07-23,96,212000,D#/Eb
6,1,18,2021-05-07--2021-05-14,MONTERO (Call Me By Your Name),"30,071,134",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",2021-03-31,97,137876,G#/Ab
7,3,16,2021-05-14--2021-05-21,Kiss Me More (feat. SZA),"29,356,736",Doja Cat,8640063,"['dance pop', 'pop']",2021-04-09,94,208867,G#/Ab
8,2,10,2021-06-18--2021-06-25,Todo De Ti,"26,951,613",Rauw Alejandro,6080597,"['puerto rican pop', 'trap latino']",2021-05-20,95,199604,D#/Eb
9,3,8,2021-06-18--2021-06-25,Yonaguni,"25,030,128",Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']",2021-06-04,96,206710,C#/Db
10,8,10,2021-07-02--2021-07-09,I WANNA BE YOUR SLAVE,"24,551,591",Måneskin,3377762,"['indie rock italiano', 'italian pop']",2021-03-19,95,173347,C#/Db
11,4,43,2021-05-07--2021-05-14,Levitating (feat. DaBaby),"23,518,010",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']",2020-10-01,89,203064,F#/Gb
12,9,9,2021-07-02--2021-07-09,Qué Más Pues?,"22,405,111","J Balvin, Maria Becerra",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",2021-05-28,95,217773,G#/Ab
13,5,3,2021-07-09--2021-07-16,Permission to Dance,"22,062,812",BTS,37106176,"['k-pop', 'k-pop boy group']",2021-07-09,95,187585,A
14,1,19,2021-04-02--2021-04-09,Peaches (feat. Daniel Caesar & Giveon),"20,294,457",Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']",2021-03-19,94,198082,C
15,2,10,2021-05-21--2021-05-28,Butter,"19,985,713",BTS,37106176,"['k-pop', 'k-pop boy group']",2021-06-04,95,164442,G#/Ab
16,7,10,2021-05-21--2021-05-28,traitor,"19,480,679",Olivia Rodrigo,6266514,['pop'],2021-05-21,94,229227,D#/Eb
17,3,17,2021-05-21--2021-05-28,deja vu,"18,571,755",Olivia Rodrigo,6266514,['pop'],2021-05-21,93,215507,D
18,5,14,2021-04-23--2021-04-30,Save Your Tears (with Ariana Grande) (Remix),"18,053,141",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-04-23,94,191014,C
19,14,5,2021-07-02--2021-07-09,AM Remix,"17,617,965","Nio Garcia, J Balvin, Bad Bunny",2123734,"['latin', 'reggaeton', 'trap latino']",2021-06-24,93,261335,F#/Gb
20,20,7,2021-07-23--2021-07-30,Need To Know,"16,908,917",Doja Cat,8640063,"['dance pop', 'pop']",2021-06-25,90,210560,C#/Db
21,19,3,2021-07-16--2021-07-23,Volando - Remix,"16,606,925","Mora, Bad Bunny, Sech",151486,"['reggaeton', 'trap latino']",2021-07-08,91,273474,F#/Gb
22,22,5,2021-07-23--2021-07-30,Ain't Shit,"16,126,897",Doja Cat,8640063,"['dance pop', 'pop']",2021-06-25,90,174253,D#/Eb
23,1,29,2021-03-12--2021-03-19,drivers license,"15,684,978",Olivia Rodrigo,6266514,['pop'],2021-05-21,92,242013,A#/Bb
24,24,31,2021-07-23--2021-07-30,Heat Waves,"15,089,184",Glass Animals,1890510,"['gauze pop', 'indietronica', 'shiver pop']",2020-08-07,85,238805,B
25,1,83,2020-06-12--2020-06-19,Blinding Lights,"15,011,809",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",2020-03-20,92,200040,C#/Db
26,12,10,2021-05-21--2021-05-28,happier,"14,849,078",Olivia Rodrigo,6266514,['pop'],2021-05-21,92,175933,F#/Gb
27,27,3,2021-07-23--2021-07-30,Pepas,"14,809,458",Farruko,10502148,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",2021-06-24,92,287120,G
28,18,3,2021-07-09--2021-07-16,Motley Crew,"14,329,162",Post Malone,33651775,"['dfw rap', 'melodic rap', 'rap']",2021-07-09,90,184213,D#/Eb
29,15,23,2021-05-07--2021-05-14,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"14,273,637","Riton, Nightcrawlers",83689,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",2021-01-15,92,169153,D
30,3,28,2021-04-02--2021-04-09,Astronaut In The Ocean,"14,174,752",Masked Wolf,365975,['australian hip hop'],2021-01-06,89,132780,E
31,5,21,2021-04-09--2021-04-16,Leave The Door Open,"13,963,568","Bruno Mars, Anderson .Paak, Silk Sonic",32574754,"['dance pop', 'pop', 'post-teen pop']",2021-03-05,92,242096,F
32,32,1,2021-07-23--2021-07-30,Don't Go Yet,"13,205,250",Camila Cabello,22683756,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2021-07-23,88,164842,A#/Bb
33,11,10,2021-05-28--2021-06-04,favorite crime,"12,818,935",Olivia Rodrigo,6266514,['pop'],2021-05-21,91,152667,A
34,10,15,2021-05-07--2021-05-14,Pareja Del Año,"12,572,307","Sebastian Yatra, Myke Towers",16216789,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",2021-04-16,91,195053,E
35,4,83,2020-07-31--2020-08-07,Watermelon Sugar,"11,996,689",Harry Styles,16112621,"['pop', 'post-teen pop']",2019-12-13,90,174000,C
36,36,1,2021-07-23--2021-07-30,NOT SOBER (feat. Polo G & Stunna Gambino),"11,869,336",The Kid LAROI, , , , , , 
37,3,16,2021-04-16--2021-04-23,RAPSTAR,"11,683,383",Polo G,4840346,['chicago rap'],2021-04-09,89,165926,F#/Gb
38,15,5,2021-06-25--2021-07-02,You Right,"11,629,418","Doja Cat, The Weeknd",8640063,"['dance pop', 'pop']",2021-06-25,89,186173,G#/Ab
39,39,3,2021-07-23--2021-07-30,911 - Remix,"11,553,846","Sech, Jhay Cortez",8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",2021-07-09,89,208631,G
40,1,39,2021-01-01--2021-01-08,DÁKITI,"11,524,288","Bad Bunny, Jhay Cortez",36142273,"['latin', 'reggaeton', 'trap latino']",2020-11-27,86,205090,E
41,41,13,2021-07-23--2021-07-30,Miénteme,"11,477,024","TINI, Maria Becerra",2936204,"['latin pop', 'pop argentino']",2021-04-29,90,165275,D
42,17,10,2021-05-21--2021-05-28,"jealousy, jealousy","11,287,301",Olivia Rodrigo,6266514,['pop'],2021-05-21,90,173160,A#/Bb
43,33,6,2021-07-02--2021-07-09,Poblado - Remix,"11,283,626","J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",2021-06-18,89,393280,D#/Eb
44,2,49,2020-11-20--2020-11-27,Dynamite,"11,196,819",BTS,37106176,"['k-pop', 'k-pop boy group']",2020-11-20,89,199054,F#/Gb
45,9,39,2021-02-26--2021-03-05,The Business,"10,739,770",Tiësto,5785065,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",2020-09-16,90,164000,G#/Ab
46,46,10,2021-07-23--2021-07-30,Heartbreak Anthem (with David Guetta & Little Mix),"10,315,460",Galantis,3120157,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",2021-05-20,89,183726,C#/Db
47,1,51,2020-10-16--2020-10-23,Mood (feat. iann dior),"10,222,056",24kGoldn,1274433,['cali rap'],2021-03-26,89,140533,G
48,48,3,2021-07-23--2021-07-30,Entre Nosotros,"10,215,216","Tiago PZK, LIT killah",375865,['trap argentino'],2021-07-08,89,192353,F
49,29,6,2021-06-25--2021-07-02,Fiel - Remix,"10,032,746","Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",2021-06-15,89,349547,F#/Gb
50,20,11,2021-06-04--2021-06-11,Build a Bitch,"9,841,998",Bella Poarch,389076,[],2021-05-14,89,122773,D#/Eb
51,19,4,2021-07-02--2021-07-09,"Nicky Jam: Bzrp Music Sessions, Vol. 41","9,799,701","Bizarrap, Nicky Jam",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",2021-06-30,88,158087,C#/Db
52,52,4,2021-07-23--2021-07-30,Tiroteo - Remix,"9,781,153","Marc Seguí, Rauw Alejandro, Pol Granch",45362,[],2021-04-01,88,321556,A
53,19,3,2021-07-09--2021-07-16,NDA,"9,635,619",Billie Eilish,47014200,"['electropop', 'pop']",2021-07-30,84,195777,G#/Ab
54,40,14,2021-06-18--2021-06-25,Rasputin,"9,600,707","Majestic, Boney M.",32178,"['house', 'pop dance', 'uk dance']",2021-06-25,49,345543,F#/Gb
55,52,9,2021-07-02--2021-07-09,Leave Before You Love Me (with Jonas Brothers),"9,428,494",Marshmello,31541310,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",2021-05-21,89,154983,G
56,56,13,2021-07-23--2021-07-30,Freaks,"9,319,465",Surf Curse,495226,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",2021-05-15,89,147062,A
57,57,5,2021-07-23--2021-07-30,Meu Pedaço de Pecado,"9,206,366",João Gomes,409173,[],2021-06-01,83,157176,B
58,31,12,2021-06-04--2021-06-11,2/Catorce,"9,086,979","Rauw Alejandro, Mr. Naisgai",6080597,"['puerto rican pop', 'trap latino']",2021-02-14,87,212032,D#/Eb
59,34,21,2021-04-23--2021-04-30,Beautiful Mistakes (feat. Megan Thee Stallion),"9,048,966",Maroon 5,32262679,"['pop', 'pop rock']",2021-06-11,88,227395,A#/Bb
60,31,15,2020-02-07--2020-02-14,Run,"9,017,356",OneRepublic,12169108,"['dance pop', 'piano rock', 'pop', 'pop rock']",2021-05-05,88,169011,B
61,46,7,2021-07-02--2021-07-09,Thot Shit,"8,977,336",Megan Thee Stallion,4787261,"['houston rap', 'pop', 'pop rap', 'trap queen']",2021-06-11,88,184635,A
62,26,26,2021-03-26--2021-04-02,Your Love (9PM),"8,935,418","ATB, Topic, A7S",291777,"['german dance', 'german techno', 'german trance', 'trance']",2021-01-15,88,150053,G
63,9,10,2021-05-21--2021-05-28,brutal,"8,881,356",Olivia Rodrigo,6266514,['pop'],2021-05-21,89,143747,E
64,2,34,2021-02-26--2021-03-05,Save Your Tears,"8,843,110",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-04-23,94,191014,C
65,8,24,2021-04-02--2021-04-09,Heartbreak Anniversary,"8,832,945",Giveon,1398563,"['pop', 'r&b']",2020-03-27,87,198371,C
66,2,83,2020-03-27--2020-04-03,Don't Start Now,"8,821,971",Dua Lipa,1250353,[],2021-08-13,0,183290,B
67,33,7,2021-06-25--2021-07-02,Dinero,"8,564,775",Trinidad Cardona,116817,[],2018-02-02,87,160880,D
68,35,48,2021-01-29--2021-02-05,Sweater Weather,"8,564,017",The Neighbourhood,6662605,"['modern alternative rock', 'modern rock', 'pop']",2013-04-19,87,240400,A#/Bb
69,69,3,2021-07-23--2021-07-30,Sobrio,"8,514,480",Maluma,26769304,"['latin', 'reggaeton', 'reggaeton colombiano']",2021-07-08,87,201181,F
70,12,83,2019-12-27--2020-01-03,Someone You Loved,"8,490,162",Lewis Capaldi,8384096,"['pop', 'uk pop']",2019-05-17,86,182161,C#/Db
71,71,1,2021-07-23--2021-07-30,Over The Top (feat. Drake),"8,269,753",Smiley,26131,"['canadian hip hop', 'toronto rap']",2021-07-23,83,153406,A#/Bb
72,72,2,2021-07-23--2021-07-30,2055,"8,133,401",Sleepy Hallow,408696,"['brooklyn drill', 'nyc rap']",2021-06-02,85,123987,F#/Gb
73,33,18,2021-05-07--2021-05-14,EL MAKINON,"8,102,107","KAROL G, Mariah Angeliq",17775316,"['latin', 'reggaeton', 'reggaeton colombiano']",2021-03-26,87,209160,F
74,74,8,2021-07-23--2021-07-30,Loco,"8,093,413","Justin Quiles, Chimbala, Zion & Lennox",2895789,"['latin', 'reggaeton', 'trap latino']",2021-05-13,87,231604,G#/Ab
75,75,4,2021-07-23--2021-07-30,Love Tonight - Edit,"8,006,336",Shouse,27116,['aussietronica'],2017-12-14,87,241970,F
76,12,11,2021-05-28--2021-06-04,ZITTI E BUONI,"7,975,148",Måneskin,3377762,"['indie rock italiano', 'italian pop']",2021-03-19,86,194787,E
77,2,23,2021-03-12--2021-03-19,telepatía,"7,912,399",Kali Uchis,1999954,"['colombian pop', 'pop']",2020-12-04,88,160191,B
78,9,14,2021-04-23--2021-04-30,Botella Tras Botella,"7,735,223","Gera MX, Christian Nodal",2043294,"['mexican hip hop', 'rap conciencia']",2021-04-23,87,197333,C
79,7,24,2021-05-07--2021-05-14,Fiel,"7,717,211","Los Legendarios, Wisin, Jhay Cortez",31488,"['reggaeton', 'trap latino']",2021-02-04,88,261667,F#/Gb
80,1,83,2020-02-14--2020-02-21,Dance Monkey,"7,687,058",Tones And I,2819593,"['australian pop', 'pop']",2019-10-17,83,209438,F#/Gb
81,7,34,2021-02-05--2021-02-12,WITHOUT YOU,"7,642,130",The Kid LAROI,2230022,['australian hip hop'],2020-11-06,87,161385,C
82,6,21,2021-03-05--2021-03-12,Wants and Needs (feat. Lil Baby),"7,637,626",Drake,56308172,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2021-03-05,87,192956,C#/Db
83,83,2,2021-07-23--2021-07-30,Bezos I,"7,516,291",Bo Burnham,1042079,['comic'],2021-06-10,84,58149,D
84,76,3,2020-03-27--2020-04-03,Love Again,"7,465,445",Dua Lipa,1250353,[],2021-08-13,0,258004,B
85,32,28,2021-04-30--2021-05-07,Goosebumps - Remix,"7,452,633","Travis Scott, HVME",17719446,"['rap', 'slap house']",2021-01-15,87,162803,C#/Db
86,11,55,2020-10-09--2020-10-16,Head & Heart (feat. MNEK),"7,434,252",Joel Corry,207547,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",2020-07-03,87,166028,G#/Ab
87,42,20,2021-04-23--2021-04-30,BED,"7,383,369","Joel Corry, RAYE, David Guetta",207547,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",2021-02-26,87,178088,F#/Gb
88,78,8,2021-07-02--2021-07-09,Iko Iko (My Bestie),"7,381,585","Justin Wellington, Small Jam",18228,"['melanesian pop', 'pacific islands pop', 'png pop']",2019-06-03,87,182857,F
89,89,1,2021-07-23--2021-07-30,Better Believe,"7,365,053","Belly, The Weeknd, Young Thug",203972,"['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop']",2021-07-22,80,206629,C
90,23,25,2021-04-02--2021-04-09,Arcade,"7,353,795",Duncan Laurence,287361,['dutch pop'],2019-03-07,84,183624,A
91,55,13,2021-05-28--2021-06-04,512,"7,336,542","Mora, Jhay Cortez",151486,"['reggaeton', 'trap latino']",2021-02-05,87,193636,E
92,1,40,2020-10-30--2020-11-06,positions,"7,244,853",Ariana Grande,67158068,"['dance pop', 'pop', 'post-teen pop']",2020-10-30,86,172325,C
93,6,84,2019-12-27--2020-01-03,Circles,"7,156,162",Post Malone,33651775,"['dfw rap', 'melodic rap', 'rap']",2019-09-06,87,215280,C
94,94,1,2021-07-23--2021-07-30,Blaues Licht,"7,084,292","RAF Camora, Bonez MC",1329531,['german hip hop'],2021-07-16,78,144264,G#/Ab
95,75,10,2021-07-02--2021-07-09,Ram Pam Pam,"7,064,003","Natti Natasha, Becky G",6341942,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",2021-04-20,86,200785,F
96,96,4,2021-07-23--2021-07-30,In Da Getto,"6,984,262","J Balvin, Skrillex",1250353,[],2021-08-12,2,131067,G#/Ab
97,97,3,2021-07-23--2021-07-30,Woman,"6,858,466",Doja Cat,8640063,"['dance pop', 'pop']",2021-06-25,86,172627,F
98,60,8,2021-06-18--2021-06-25,t r a n s p a r e n t s o u l feat. Travis Barker,"6,853,994",WILLOW,1521837,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",2021-04-27,85,168030,B
99,99,2,2021-07-23--2021-07-30,Clash (feat. Stormzy),"6,825,463",Dave,1427540,['uk hip hop'],2021-07-08,79,251733,D
100,22,83,2020-02-07--2020-02-14,Before You Go,"6,813,800",Lewis Capaldi,8384096,"['pop', 'uk pop']",2019-11-22,83,215107,D#/Eb
101,52,19,2020-03-27--2020-04-03,Levitating,"6,799,831",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']",2020-10-01,89,203064,F#/Gb
102,85,5,2021-07-09--2021-07-16,Reckless,"6,711,375",Madison Beer,3363988,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",2021-06-04,86,203385,D#/Eb
103,103,5,2021-07-23--2021-07-30,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","6,709,106",BANDIDO,16074,[],2021-06-16,85,280274,C#/Db
104,88,83,2020-06-26--2020-07-03,Believer,"6,699,895",Imagine Dragons,35285425,"['modern rock', 'pop', 'rock']",2017-06-23,86,204347,A#/Bb
105,2,48,2020-10-16--2020-10-23,"Lemonade (feat. Gunna, Don Toliver & NAV)","6,697,067",Internet Money,411579,"['pop rap', 'rap', 'trap']",2020-08-14,82,195429,C#/Db
106,45,19,2021-04-30--2021-05-07,Talking to the Moon,"6,660,319",Bruno Mars,32574754,"['dance pop', 'pop', 'post-teen pop']",2010-10-05,83,217867,C#/Db
107,3,83,2020-06-19--2020-06-26,Roses - Imanbek Remix,"6,653,690",SAINt JHN,742692,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",2020-11-20,72,176867,G#/Ab
108,59,11,2021-06-04--2021-06-11,Sal y Perrea,"6,635,076",Sech,8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",2021-04-15,86,216510,A#/Bb
109,109,3,2021-07-23--2021-07-30,Fulanito,"6,614,072","Becky G, El Alfa",10356559,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",2021-06-03,86,158532,G
110,110,1,2021-07-23--2021-07-30,París,"6,584,896",Ingratax,56699,[],2021-07-09,86,151429,C#/Db
111,46,83,2020-04-17--2020-04-24,lovely (with Khalid),"6,569,547",Billie Eilish,47014200,"['electropop', 'pop']",2018-04-19,86,200186,E
112,24,83,2019-12-27--2020-01-03,Sunflower - Spider-Man: Into the Spider-Verse,"6,546,948","Post Malone, Swae Lee",1250353,[],2018-12-14,82,158040,D
113,113,3,2021-07-23--2021-07-30,double take,"6,539,852",dhruv,73211,"['chill r&b', 'nyc pop']",2019-05-24,86,171743,G#/Ab
114,9,29,2021-02-05--2021-02-12,Streets,"6,502,302",Doja Cat,8640063,"['dance pop', 'pop']",2019-11-07,86,226987,B
115,80,8,2021-06-04--2021-06-11,By Your Side (feat. Tom Grennan),"6,488,622",Calvin Harris,21942793,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",2021-06-04,85,189672,G
116,116,3,2021-07-23--2021-07-30,MORENA,"6,469,500",Luan Santana,5420471,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",2021-06-17,85,193221,B
117,80,80,2019-12-27--2020-01-03,Shape of You,"6,452,492",Ed Sheeran,83293380,"['pop', 'uk pop']",2017-03-03,85,233713,C#/Db
118,9,83,2019-12-27--2020-01-03,Señorita,"6,317,487","Shawn Mendes, Camila Cabello",33879560,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",2019-06-21,82,190960,A
119,5,21,2021-03-19--2021-03-26,Hold On,"6,300,416",Justin Bieber,1250353,[],2021-08-13,0,170813,C#/Db
120,99,83,2020-07-24--2020-07-31,Perfect,"6,278,765",Ed Sheeran,83293380,"['pop', 'uk pop']",2017-03-03,86,263400,G#/Ab
121,80,5,2021-07-02--2021-07-09,2:50 Remix,"6,244,011","MYA, TINI, Duki",282045,['latin pop'],2021-06-21,85,231708,A
122,2,35,2020-11-27--2020-12-04,LA NOCHE DE ANOCHE,"6,242,863","Bad Bunny, ROSALÍA",36142273,"['latin', 'reggaeton', 'trap latino']",2020-11-27,86,203201,G
123,1,67,2020-07-17--2020-07-24,ROCKSTAR (feat. Roddy Ricch),"6,180,056",DaBaby,7593046,"['north carolina hip hop', 'rap']",2020-04-17,86,181733,B
124,12,53,2020-09-04--2020-09-11,Heather,"6,164,795",Conan Gray,3794081,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",2020-03-20,86,198040,F
125,13,55,2020-10-16--2020-10-23,you broke me first,"6,152,121",Tate McRae,1647262,"['alt z', 'dance pop', 'pop', 'post-teen pop']",2020-04-17,86,169266,E
126,126,18,2021-07-23--2021-07-30,The Nights,"6,136,340",Avicii,20270895,"['dance pop', 'edm', 'pop', 'pop dance']",2014-01-01,85,176658,F#/Gb
127,122,37,2021-07-16--2021-07-23,Riptide,"6,089,242",Vance Joy,2421254,"['folk-pop', 'modern rock', 'pop', 'pop rock']",2014-09-09,78,204280,C#/Db
128,128,30,2021-07-23--2021-07-30,Smells Like Teen Spirit,"6,065,267",Nirvana,13261089,"['grunge', 'permanent wave', 'rock']",1991-09-26,77,301920,C#/Db
129,11,10,2021-05-21--2021-05-28,enough for you,"6,040,918",Olivia Rodrigo,6266514,['pop'],2021-05-21,86,202827,G
130,99,42,2021-02-05--2021-02-12,Daddy Issues,"6,014,443",The Neighbourhood,6662605,"['modern alternative rock', 'modern rock', 'pop']",2015-10-30,85,260173,A#/Bb
131,131,3,2021-07-23--2021-07-30,Aquelas Coisas,"6,012,839",João Gomes,409173,[],2021-06-01,84,147072,F#/Gb
132,19,12,2021-05-07--2021-05-14,Miss The Rage (feat. Playboi Carti),"5,952,490",Trippie Redd,6430522,"['melodic rap', 'rap', 'trap']",2021-05-07,85,236883,G#/Ab
133,4,83,2019-12-27--2020-01-03,Memories,"5,928,329",Maroon 5,32262679,"['pop', 'pop rock']",2021-06-11,85,189486,B
134,76,16,2021-04-23--2021-04-30,Another Love,"5,914,661",Tom Odell,1838616,['pop'],2013-09-17,67,244360,E
135,135,4,2021-07-23--2021-07-30,Here's Your Perfect,"5,912,784",Jamie Miller,64288,['pop soul'],2021-04-30,85,158594,F#/Gb
136,108,37,2021-04-30--2021-05-07,Take Me To Church,"5,907,750",Hozier,4781906,"['irish singer-songwriter', 'modern rock', 'pop']",2014-09-19,74,241693,E
137,110,13,2021-07-02--2021-07-09,Little Bit of Love,"5,848,466",Tom Grennan,261225,"['modern rock', 'uk pop']",2021-01-08,80,226268,C#/Db
138,138,4,2021-07-23--2021-07-30,Ficha Limpa,"5,847,975",Gusttavo Lima,12969190,"['sertanejo', 'sertanejo universitario']",2021-06-19,85,192725,A
139,14,25,2021-03-26--2021-04-02,Up,"5,845,156",Cardi B,17353707,"['dance pop', 'pop', 'pop rap', 'rap']",2021-02-05,83,156945,B
140,2,52,2020-09-04--2020-09-11,Hawái,"5,769,714",Maluma,26769304,"['latin', 'reggaeton', 'reggaeton colombiano']",2020-11-05,77,200482,F#/Gb
141,141,1,2021-07-23--2021-07-30,New Normal,"5,768,653",Khalid,14187747,['pop'],2021-07-21,79,198765,C
142,81,81,2019-12-27--2020-01-03,Bohemian Rhapsody - Remastered 2011,"5,756,583",Queen,35888760,"['classic rock', 'glam rock', 'rock']",1975-11-21,74,354320,C
143,5,32,2021-02-05--2021-02-12,Bandido,"5,734,402","Myke Towers, Juhn",6150675,['trap latino'],2020-12-10,85,232853,G#/Ab
144,25,39,2021-02-05--2021-02-12,Paradise (feat. Dermot Kennedy),"5,693,848",MEDUZA,441674,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",2020-10-30,85,167903,G#/Ab
145,13,83,2020-04-24--2020-05-01,goosebumps,"5,691,540",Travis Scott,17719446,"['rap', 'slap house']",2021-01-15,87,162803,C#/Db
146,90,18,2021-05-28--2021-06-04,Wasted Love (feat. Lagique),"5,690,260",Ofenbach,432581,"['edm', 'new french touch', 'pop dance', 'tropical house']",2021-01-08,85,139563,F#/Gb
147,100,2,2021-07-16--2021-07-23,KESI - Remix,"5,682,062","Camilo, Shawn Mendes",10561047,"['colombian pop', 'reggaeton colombiano']",2021-07-14,83,176575,E
148,59,83,2020-01-03--2020-01-10,Shallow,"5,672,480","Lady Gaga, Bradley Cooper",18572085,"['dance pop', 'pop', 'post-teen pop']",2018-10-05,83,215733,G
149,110,9,2021-05-28--2021-06-04,Tell Em,"5,668,576","Cochise, $NOT",159647,"['plugg', 'vapor trap', 'viral rap']",2021-05-28,85,180380,F
150,103,5,2021-07-02--2021-07-09,"Não, Não Vou","5,652,272",Mari Fernandez,15889,[],2021-04-29,84,173038,B
151,147,24,2021-06-18--2021-06-25,Counting Stars,"5,647,568",OneRepublic,12169108,"['dance pop', 'piano rock', 'pop', 'pop rock']",2014-01-01,74,257840,C#/Db
152,121,32,2021-05-07--2021-05-14,Yellow,"5,628,703",Coldplay,31151294,"['permanent wave', 'pop']",2000-07-10,85,266773,B
153,153,1,2021-07-23--2021-07-30,Como Si No Importara,"5,627,257","Emilia, Duki",205590,[],2021-07-13,83,173053,C#/Db
154,154,1,2021-07-23--2021-07-30,Se For Amor,"5,618,268","João Gomes, Vitor Fernandes",409173,[],2021-06-01,81,239928,B
155,142,23,2021-05-28--2021-06-04,Wake Me Up,"5,607,285",Avicii,20270895,"['dance pop', 'edm', 'pop', 'pop dance']",2013-01-01,84,247427,D
156,128,7,2021-07-09--2021-07-16,Baby Me Atende,"5,594,505","Matheus Fernandes, Dilsinho",77034,"['forro', 'sertanejo pop']",2021-02-26,83,225672,F#/Gb
157,68,6,2021-07-02--2021-07-09,Ramenez la coupe à la maison,"5,576,844",Vegedream,1250353,[],2021-08-13,0,235556,C
158,6,47,2020-11-06--2020-11-13,What You Know Bout Love,"5,570,735",Pop Smoke,6837946,['brooklyn drill'],2020-07-03,85,160000,A#/Bb
159,19,18,2021-04-23--2021-04-30,Runaway,"5,566,150",AURORA,1687399,"['art pop', 'norwegian pop']",2014,77,248827,B
160,121,5,2021-07-09--2021-07-16,Red Light Green Light,"5,493,760",DaBaby,7593046,"['north carolina hip hop', 'rap']",2021-06-25,84,159083,D
161,120,5,2021-06-18--2021-06-25,Ball If I Want To,"5,478,055",DaBaby,7593046,"['north carolina hip hop', 'rap']",2021-06-18,84,112547,C#/Db
162,31,83,2019-12-27--2020-01-03,Lucid Dreams,"5,477,563",Juice WRLD,19085118,"['chicago rap', 'melodic rap']",2018-12-10,85,239836,F#/Gb
163,4,24,2021-02-12--2021-02-19,Calling My Phone,"5,467,753","Lil Tjay, 6LACK",3553442,"['brooklyn drill', 'melodic rap', 'nyc rap']",2021-04-02,85,205458,E
164,5,39,2020-10-30--2020-11-06,34+35,"5,453,159",Ariana Grande, , , , , , 
165,13,83,2020-01-24--2020-01-31,bad guy,"5,436,286",Billie Eilish,1250353,[],2021-08-13,0,194088,G
